Country Name,Country Code,Series Name,Series Code,2012 [YR2012]
Afghanistan,AFG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1893.07568149927
Afghanistan,AFG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Afghanistan,AFG,Urban population (% of total),SP.URB.TOTL.IN.ZS,25.468
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,10157.1638455842
Albania,ALB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Albania,ALB,Urban population (% of total),SP.URB.TOTL.IN.ZS,54.33
Algeria,DZA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,12778.5466656296
Algeria,DZA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,100.23518
Algeria,DZA,Urban population (% of total),SP.URB.TOTL.IN.ZS,68.87
American Samoa,ASM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
American Samoa,ASM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
American Samoa,ASM,Urban population (% of total),SP.URB.TOTL.IN.ZS,87.413
Andorra,ADO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Andorra,ADO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Andorra,ADO,Urban population (% of total),SP.URB.TOTL.IN.ZS,86.708
Angola,AGO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,7230.49654733803
Angola,AGO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Angola,AGO,Urban population (% of total),SP.URB.TOTL.IN.ZS,41.699
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,20577.292106724
Antigua and Barbuda,ATG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Antigua and Barbuda,ATG,Urban population (% of total),SP.URB.TOTL.IN.ZS,25.135
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Argentina,ARG,Urban population (% of total),SP.URB.TOTL.IN.ZS,91.295
Armenia,ARM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,7290.6390715562
Armenia,ARM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Armenia,ARM,Urban population (% of total),SP.URB.TOTL.IN.ZS,63.161
Aruba,ABW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Aruba,ABW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Aruba,ABW,Urban population (% of total),SP.URB.TOTL.IN.ZS,42.364
Australia,AUS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,42529.8700472812
Australia,AUS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Australia,AUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,89.015
Austria,AUT,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,44504.850844977
Austria,AUT,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,97.18944
Austria,AUT,Urban population (% of total),SP.URB.TOTL.IN.ZS,65.864
Azerbaijan,AZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,15888.2179950886
Azerbaijan,AZE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,91.98033
Azerbaijan,AZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,53.856
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,22694.2794564162
"Bahamas, The",BHS,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
"Bahamas, The",BHS,Urban population (% of total),SP.URB.TOTL.IN.ZS,82.667
Bahrain,BHR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,40657.7977272442
Bahrain,BHR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Bahrain,BHR,Urban population (% of total),SP.URB.TOTL.IN.ZS,88.619
Bangladesh,BGD,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2724.63777161934
Bangladesh,BGD,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Bangladesh,BGD,Urban population (% of total),SP.URB.TOTL.IN.ZS,31.99
Barbados,BRB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,15298.7155167979
Barbados,BRB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Barbados,BRB,Urban population (% of total),SP.URB.TOTL.IN.ZS,31.769
Belarus,BLR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,16906.9218948791
Belarus,BLR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.27497
Belarus,BLR,Urban population (% of total),SP.URB.TOTL.IN.ZS,75.467
Belgium,BEL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,40739.3792746532
Belgium,BEL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,89.96686
Belgium,BEL,Urban population (% of total),SP.URB.TOTL.IN.ZS,97.732
Belize,BLZ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,8286.95915928284
Belize,BLZ,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,116.0609
Belize,BLZ,Urban population (% of total),SP.URB.TOTL.IN.ZS,44.496
Benin,BEN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1685.29742882893
Benin,BEN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,70.5206
Benin,BEN,Urban population (% of total),SP.URB.TOTL.IN.ZS,42.667
Bermuda,BMU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,52118.6402276982
Bermuda,BMU,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Bermuda,BMU,Urban population (% of total),SP.URB.TOTL.IN.ZS,100
Bhutan,BTN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,7138.40537809518
Bhutan,BTN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,101.25904
Bhutan,BTN,Urban population (% of total),SP.URB.TOTL.IN.ZS,36.368
Bolivia,BOL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,5650.43075021165
Bolivia,BOL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Bolivia,BOL,Urban population (% of total),SP.URB.TOTL.IN.ZS,67.279
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,9149.16557668276
Bosnia and Herzegovina,BIH,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Bosnia and Herzegovina,BIH,Urban population (% of total),SP.URB.TOTL.IN.ZS,39.378
Botswana,BWA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,14531.006265535
Botswana,BWA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Botswana,BWA,Urban population (% of total),SP.URB.TOTL.IN.ZS,56.699
Brazil,BRA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,14323.1358759394
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Brazil,BRA,Urban population (% of total),SP.URB.TOTL.IN.ZS,84.901
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,71664.3739940364
Brunei Darussalam,BRN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,101.94281
Brunei Darussalam,BRN,Urban population (% of total),SP.URB.TOTL.IN.ZS,76.223
Bulgaria,BGR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,15442.8269005261
Bulgaria,BGR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,98.17296
Bulgaria,BGR,Urban population (% of total),SP.URB.TOTL.IN.ZS,72.971
Burkina Faso,BFA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1527.85572807288
Burkina Faso,BFA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,57.60056
Burkina Faso,BFA,Urban population (% of total),SP.URB.TOTL.IN.ZS,27.346
Burundi,BDI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,736.843294747928
Burundi,BDI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,62.17888
Burundi,BDI,Urban population (% of total),SP.URB.TOTL.IN.ZS,11.189
Cabo Verde,CPV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,6233.52206033836
Cabo Verde,CPV,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,99.04205
Cabo Verde,CPV,Urban population (% of total),SP.URB.TOTL.IN.ZS,63.389
Cambodia,KHM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2790.43087295551
Cambodia,KHM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,98.12583
Cambodia,KHM,Urban population (% of total),SP.URB.TOTL.IN.ZS,20.137
Cameroon,CMR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2661.30820279509
Cameroon,CMR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,72.84545
Cameroon,CMR,Urban population (% of total),SP.URB.TOTL.IN.ZS,52.677
Canada,CAN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,41541.1151715076
Canada,CAN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Canada,CAN,Urban population (% of total),SP.URB.TOTL.IN.ZS,81.293
Cayman Islands,CYM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Cayman Islands,CYM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Cayman Islands,CYM,Urban population (% of total),SP.URB.TOTL.IN.ZS,100
Central African Republic,CAF,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,931.490689414463
Central African Republic,CAF,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,45.3486
Central African Republic,CAF,Urban population (% of total),SP.URB.TOTL.IN.ZS,39.258
Chad,TCD,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2003.39620440228
Chad,TCD,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,35.2531
Chad,TCD,Urban population (% of total),SP.URB.TOTL.IN.ZS,22.129
Channel Islands,CHI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Channel Islands,CHI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Channel Islands,CHI,Urban population (% of total),SP.URB.TOTL.IN.ZS,31.189
Chile,CHL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,21048.927954527
Chile,CHL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,97.33283
Chile,CHL,Urban population (% of total),SP.URB.TOTL.IN.ZS,88.986
China,CHN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,10756.4577107266
China,CHN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
China,CHN,Urban population (% of total),SP.URB.TOTL.IN.ZS,51.889
Colombia,COL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,11636.5520748801
Colombia,COL,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,105.04355
Colombia,COL,Urban population (% of total),SP.URB.TOTL.IN.ZS,75.603
Comoros,COM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1385.26949194656
Comoros,COM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Comoros,COM,Urban population (% of total),SP.URB.TOTL.IN.ZS,28.029
"Congo, Dem. Rep.",ZAR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,741.892109258868
"Congo, Dem. Rep.",ZAR,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,72.81776
"Congo, Dem. Rep.",ZAR,Urban population (% of total),SP.URB.TOTL.IN.ZS,40.95
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,5631.30129360079
"Congo, Rep.",COG,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,72.98274
"Congo, Rep.",COG,Urban population (% of total),SP.URB.TOTL.IN.ZS,64.1
Costa Rica,CRI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,13157.4915669465
Costa Rica,CRI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,95.19691
Costa Rica,CRI,Urban population (% of total),SP.URB.TOTL.IN.ZS,73.94
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2927.37248239245
Cote d'Ivoire,CIV,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,61.19567
Cote d'Ivoire,CIV,Urban population (% of total),SP.URB.TOTL.IN.ZS,52.041
Croatia,HRV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,20182.8301749015
Croatia,HRV,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,93.17816
Croatia,HRV,Urban population (% of total),SP.URB.TOTL.IN.ZS,58.074
Cuba,CUB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Cuba,CUB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,95.61037
Cuba,CUB,Urban population (% of total),SP.URB.TOTL.IN.ZS,76.781
Curacao,CUW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Curacao,CUW,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Curacao,CUW,Urban population (% of total),SP.URB.TOTL.IN.ZS,89.652
Cyprus,CYP,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,29087.3674874249
Cyprus,CYP,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,100.06414
Cyprus,CYP,Urban population (% of total),SP.URB.TOTL.IN.ZS,67.261
Czech Republic,CZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,28185.3298468362
Czech Republic,CZE,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,102.47479
Czech Republic,CZE,Urban population (% of total),SP.URB.TOTL.IN.ZS,73.115
Denmark,DNK,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,42362.7049308699
Denmark,DNK,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,98.52357
Denmark,DNK,Urban population (% of total),SP.URB.TOTL.IN.ZS,87.142
Djibouti,DJI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,2807.03591075583
Djibouti,DJI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Djibouti,DJI,Urban population (% of total),SP.URB.TOTL.IN.ZS,77.117
Dominica,DMA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,10148.5593198255
Dominica,DMA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.9604
Dominica,DMA,Urban population (% of total),SP.URB.TOTL.IN.ZS,68.681
Dominican Republic,DOM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,11417.9478308648
Dominican Republic,DOM,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,90.30978
Dominican Republic,DOM,Urban population (% of total),SP.URB.TOTL.IN.ZS,76.039
Ecuador,ECU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,10232.8056445241
Ecuador,ECU,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,110.86182
Ecuador,ECU,Urban population (% of total),SP.URB.TOTL.IN.ZS,63.088
"Egypt, Arab Rep.",EGY,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,10686.4228540508
"Egypt, Arab Rep.",EGY,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,106.99634
"Egypt, Arab Rep.",EGY,Urban population (% of total),SP.URB.TOTL.IN.ZS,43.002
El Salvador,SLV,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,7441.75338004112
El Salvador,SLV,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,100.9545
El Salvador,SLV,Urban population (% of total),SP.URB.TOTL.IN.ZS,65.287
Equatorial Guinea,GNQ,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,35314.001579187
Equatorial Guinea,GNQ,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,54.79383
Equatorial Guinea,GNQ,Urban population (% of total),SP.URB.TOTL.IN.ZS,39.463
Eritrea,ERI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1179.7752943577
Eritrea,ERI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,31.20823
Eritrea,ERI,Urban population (% of total),SP.URB.TOTL.IN.ZS,21.352
Estonia,EST,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,24721.3797834123
Estonia,EST,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,96.42124
Estonia,EST,Urban population (% of total),SP.URB.TOTL.IN.ZS,67.835
Ethiopia,ETH,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1240.17193989907
Ethiopia,ETH,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Ethiopia,ETH,Urban population (% of total),SP.URB.TOTL.IN.ZS,18.16
Faeroe Islands,FRO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
Faeroe Islands,FRO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Faeroe Islands,FRO,Urban population (% of total),SP.URB.TOTL.IN.ZS,41.323
Fiji,FJI,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,7302.60302109224
Fiji,FJI,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,103.62131
Fiji,FJI,Urban population (% of total),SP.URB.TOTL.IN.ZS,52.596
Finland,FIN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,39504.442180032
Finland,FIN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,99.26237
Finland,FIN,Urban population (% of total),SP.URB.TOTL.IN.ZS,83.819
France,FRA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,37247.2133433694
France,FRA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
France,FRA,Urban population (% of total),SP.URB.TOTL.IN.ZS,78.82
French Polynesia,PYF,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..
French Polynesia,PYF,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
French Polynesia,PYF,Urban population (% of total),SP.URB.TOTL.IN.ZS,56.218
Gabon,GAB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,18031.859126681
Gabon,GAB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..
Gabon,GAB,Urban population (% of total),SP.URB.TOTL.IN.ZS,86.367
"Gambia, The",GMB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,1584.17831456322
"Gambia, The",GMB,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,70.33337
"Gambia, The",GMB,Urban population (% of total),SP.URB.TOTL.IN.ZS,57.706
Georgia,GEO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,6702.37575400442
Georgia,GEO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,108.14023
Georgia,GEO,Urban population (% of total),SP.URB.TOTL.IN.ZS,53.162
Germany,DEU,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,43266.1666451899
